ID,Escola,Endereco_Escola,Serie,Turma,Nome_Aluno,Genero,Idade_Aluno,CPF_Aluno,Telefone_Aluno,Endereco_Completo,Municipio,UF,CEP,Deficiencia,Nome_Responsavel,Parentesco,CPF_Responsavel,Telefone_Responsavel,Protocolo,Status_Matricula,Renda_Familiar,Tem_Irmaos,Numero_Irmaos,Idades_Irmaos,Trabalha_Fora,Horas_Trabalho_Semana,Tipo_Trabalho,Tempo_Deslocamento_Min,Meio_Transporte,Acesso_Internet,Tem_Computador,Apoio_Familiar_Estudos,Faz_Refeicao_Escola,Matematica_1Bim,Matematica_2Bim,Matematica_3Bim,Matematica_4Bim,Media_Matematica,Portugues_1Bim,Portugues_2Bim,Portugues_3Bim,Portugues_4Bim,Media_Portugues,Media_Geral,Frequencia_Percentual,Cor_Raca,Area_Climatica,Impacto_Seca,Area_Risco_Ambiental,Seguranca_Trajeto,Refeicoes_Diarias,Seguranca_Alimentar,Ambiente_Familiar,Responsabilidades_Casa
1,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,João Fernandes Lima,M,15,328.242.854-23,(83) 99385-9935,"Rua José Augusto Trindade, 17 - Castelo Branco, João Pessoa - PB, 58323-338",João Pessoa,PB,58323-338,Nenhuma,Marcelo Cardoso Dias,Mãe,658.529.325-67,(83) 99206-5557,2025895667,Aguardando vaga,2461,Sim,2,"7, 11",Sim,27,Comércio,21,Ônibus,Apenas celular,Não,Baixo,Sim,1.9,1.4,1.3,2.2,1.7,0.3,0.4,0.1,0.0,0.1,0.631924809622739,70,Parda,Urbano Litorâneo,Não Afetado,Não,Inseguro,4,Segura,Tranquilo,Moderadas
2,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Valentina Alves Correia,F,16,818.799.763-19,(83) 99247-3803,"Rua Maciel Pinheiro, 237, Casa A - Prata, Campina Grande - PB, 58755-804",Campina Grande,PB,58755-804,Nenhuma,Claudia Garcia Garcia,Avô,157.334.941-14,(83) 99648-6168,2025380746,Contemplação direta,3500,Sim,3,"7, 16, 13",Não,0,,127,Carona,Sim (banda larga),Sim,Baixo,Sim,6.4,5.9,5.3,4.8,5.6,8.3,7.8,7.2,6.7,7.6,6.499390789511864,80,Branca,Urbano,Não Afetado,Risco Baixo,Inseguro,3,Segura,Tranquilo,Poucas
3,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Vinicius Moreira Araújo,M,16,887.756.448-24,(83) 98601-8123,"Rua das Trincheiras, 489 - Alto do Mateus, João Pessoa - PB, 58880-282",João Pessoa,PB,58880-282,TDAH,Claudia Cardoso Nascimento,Tia,723.303.256-57,(83) 99561-3646,2025916449,Lista de espera,1007,Sim,4,"1, 4, 12, 10",Não,0,,140,Transporte escolar,Não,Não,Alto,Sim,1.1,0.6,0.0,0.0,0.3,1.6,1.1,0.5,0.0,0.9,0.7793632415612819,70,Parda,Urbano Litorâneo,Levemente Afetado,Risco Baixo,Seguro,1,Moderada Insegurança,Tranquilo,Moderadas
4,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Beatriz Pereira Pereira,F,15,446.121.702-80,(83) 98471-4608,"Rua das Trincheiras, 118 - Castelo Branco, João Pessoa - PB, 58980-438",João Pessoa,PB,58980-438,Nenhuma,Carolina Almeida Alves,Pai,652.235.840-83,(83) 99180-8744,2025922733,Contemplação direta,812,Sim,4,"12, 14, 14, 15",Não,0,,128,A pé,Não,Não,Alto,Sim,2.7,2.2,1.6,1.1,1.9,0.9,0.4,0.0,0.0,0.2,1.1507220772360842,70,Branca,Urbano Litorâneo,Levemente Afetado,Não,Pouco Seguro,2,Grave Insegurança,Tranquilo,Muitas
5,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Ricardo Almeida Almeida,M,15,985.510.160-31,(83) 98776-1035,"Av. Presidente Vargas, 147 - Centro II, Guarabira - PB, 58777-835",Guarabira,PB,58777-835,Nenhuma,Isabela Santos Melo,Tia,853.655.162-50,(83) 98117-1821,2025599948,Contemplação direta,2500,Sim,5,"3, 6, 3, 20, 3",Não,0,,95,Transporte escolar,Apenas celular,Não,Médio,Sim,4.7,5.2,5.8,6.3,5.5,7.2,7.7,8.3,8.8,8.1,6.886098870984646,70,Preta,Interior Semiárido,Levemente Afetado,Risco Médio,Inseguro,3,Segura,Tranquilo,Muitas
6,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,André Lima Rodrigues,M,16,170.350.478-46,(83) 98323-8179,"Rua João Suassuna, 414 - Nordeste, Guarabira - PB, 58108-783",Guarabira,PB,58108-783,Nenhuma,Francisco Rodrigues Lima,Avó,218.209.860-80,(83) 98318-5462,2025734210,Contemplação direta,1200,Sim,3,"17, 16, 9",Não,0,,97,Ônibus,Sim (banda larga),Não,Médio,Sim,0.0,0.0,0.0,0.0,0.0,1.7,0.8,1.2,1.3,1.2,0.20637981731469335,70,Preta,Interior Semiárido,Muito Afetado,Não,Pouco Seguro,3,Segura,Tensão Moderada,Moderadas
7,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Vinicius Pereira Correia,M,15,462.898.673-62,(83) 99994-3532,"Rua Maciel Pinheiro, 500, Bloco 2 - Centro, Campina Grande - PB, 58125-283",Campina Grande,PB,58125-283,TDAH,Sandra Correia Marques,Avô,852.930.354-44,(83) 98326-2771,2025140605,Aguardando vaga,1200,Não,0,,Não,0,,133,Van escolar,Não,Não,Alto,Sim,2.4,1.9,1.3,0.8,1.6,0.7,0.2,0.0,0.0,0.0,0.9169255445273177,70,Preta,Urbano,Levemente Afetado,Risco Médio,Seguro,2,Leve Insegurança,Tensão Moderada,Moderadas
8,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Gustavo Moreira Melo,M,15,360.145.825-65,(83) 98003-9518,"Rua São Francisco, 187 - São José, Solânea - PB, 58780-438",Solânea,PB,58780-438,Nenhuma,Daniel Moreira Gomes,Tio,619.416.782-62,(83) 98668-7592,2025410016,Contemplação direta,2088,Sim,4,"6, 20, 19, 10",Sim,41,Comércio,114,Van escolar,Sim (banda larga),Não,Médio,Sim,2.4,1.9,1.3,0.8,1.6,2.4,1.9,1.3,0.8,1.7,1.9523411860305,70,Branca,Interior Semiárido,Muito Afetado,Risco Médio,Inseguro,3,Segura,Tranquilo,Poucas
9,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Fernando Carvalho Moreira,M,15,835.813.493-73,(83) 98818-4997,"Rua das Trincheiras, 458, Bloco 2 - Castelo Branco, João Pessoa - PB, 58324-280",João Pessoa,PB,58324-280,Nenhuma,Luiz Marques Souza,Tia,567.236.920-69,(83) 99367-9702,2025724377,Contemplação direta,2500,Sim,5,"14, 18, 15, 6, 16",Não,0,,21,Transporte escolar,Apenas celular,Não,Baixo,Sim,2.3,2.8,3.4,3.9,3.1,4.5,5.0,5.6,6.1,5.4,4.465977580970707,84,Parda,Urbano Litorâneo,Não Afetado,Não,Seguro,3,Segura,Tranquilo,Muitas
10,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Antônio Moreira Garcia,M,16,588.106.460-48,(83) 99543-7389,"Rua Getúlio Vargas, 250, Casa A - Centro, Areia - PB, 58546-597",Areia,PB,58546-597,Nenhuma,Rafaela Ferreira Lopes,Tia,578.230.737-78,(83) 98055-7455,2025691807,Contemplação direta,2310,Sim,4,"6, 2, 9, 13",Sim,29,Serviços domésticos,100,Van escolar,Apenas celular,Não,Baixo,Sim,2.4,1.9,1.3,0.8,1.6,0.7,0.2,0.0,0.0,0.0,0.7805499260096724,70,Parda,Interior Semiárido,Levemente Afetado,Não,Inseguro,2,Leve Insegurança,Tensão Moderada,Poucas
